arm,tag,volume_fraction_target,volume_fraction,compliance_J,mass_kg,grey_level,iterations,converged,stop_reason,seconds,num_elements,num_dofs,penalty,filter_radius_m,filter_support,youngs_modulus_Pa,full_solid_compliance_J,equal_mass_plate_compliance_J,stiffness_gain_over_equal_mass_plate,retained_elements,connected_groups,islands_discarded_m3,interpreted_compliance_J,compliance_vs_simp_ratio,interpreted_mass_kg,interpreted_max_von_mises_Pa,interpreted_analysis_failed,compliance_down_limit_J,compliance_up_reversal_J,compliance_lateral_J,weight_down_limit,weight_up_reversal,weight_lateral,f1_topology_Hz,topology_mass_kg,f1_solid_Hz
filter_radius,r_1.0,0.35,0.3499999999751802,2.645045804121876,0.47207999996654487,0.0045848911445912285,96,True,design_change,10.026598031,9600,19602,3.0,0.002499999999999925,1.0,71700000000,1.1292514564708898,3.2264327330027687,1.2198022158916475,2784,494,2.9500000000002804e-05,14.589557238812093,5.5158051388284575,0.3911520000000002,467020566.42885184,False,4.587029972778571,1.1467574931946427,0.2593657777357179,1,0.5,0.5,,,
filter_radius,r_1.5,0.35,0.3500000000005512,3.035991514686477,0.4720800000007653,0.11900052861398641,203,True,design_change,22.237861123,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327327688895,1.062727849258195,3376,1,0.0,2.619519021266908,0.8628215884646248,0.47432799999999875,146291495.0717428,False,5.2266288306236826,1.3066572076559206,0.3840511898426232,1,0.5,0.5,,,
filter_radius,r_2.0,0.35,0.35000000001421827,3.168624731688985,0.4720800000191994,0.1447682247252562,182,True,design_change,18.875019197,9600,19602,3.0,0.00499999999999985,8.875416666666666,71700000000,1.1292514564708898,3.2264327326429014,1.0182438773439426,3378,1,0.0,2.626801217046464,0.8290035707845685,0.4746089999999993,146016877.13956246,False,5.460487373922625,1.3651218434806562,0.3884023354300331,1,0.5,0.5,,,
filter_radius,r_3.0,0.35,0.35000000000857645,3.440559537693176,0.47208000001158973,0.20101038032035415,402,True,design_change,44.012199037,9600,19602,3.0,0.007499999999999775,24.37875,71700000000,1.1292514564708898,3.2264327326949096,0.9377639588408826,3390,1,0.0,2.620894371124154,0.7617639928653609,0.4762949999999989,145210467.39362043,False,5.950820302956174,1.4877050757390435,0.37289246912131313,1,0.5,0.5,,,
filter_radius,r_4.0,0.35,0.35000000002670356,3.6891793215675803,0.4720800000360396,0.2571847666407297,573,True,design_change,71.133652732,9600,19602,3.0,0.0099999999999997,43.51125,71700000000,1.1292514564708898,3.2264327325278073,0.8745665231466314,3414,1,0.0,2.56099113875996,0.6941899310201494,0.47966699999999823,122608981.11204025,False,6.4021799204470335,1.6005449801117584,0.35181246526449594,1,0.5,0.5,,,
filter_radius,r_6.0,0.35,0.3499999999665018,4.156672635071612,0.4720799999548394,0.34007630612715917,426,True,design_change,55.425235657,9600,19602,3.0,0.01499999999999955,103.35833333333333,71700000000,1.1292514564708898,3.22643273308277,0.7762056376198566,3422,1,0.0,2.51796593322707,0.6057647917668384,0.48079099999999875,120857979.71504101,False,7.239806323082142,1.8099515807705355,0.3371263133516251,1,0.5,0.5,,,
load_weighting,w_1_0.5_0,0.35,0.3500000000227937,3.949985364105094,0.47208000003076594,0.12301734877940265,286,True,design_change,30.503930216,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.4819765607851092,4.23421874482456,1.0719580845292225,3374,1,0.0,3.3978507374519884,0.860218563929237,0.47404699999999783,144651902.69514203,False,5.266647152140125,1.3166617880350313,0.45533908638364806,1,0.5,0.0,,,
load_weighting,w_1_0.5_0.25,0.35,0.3500000000038976,3.442269564696214,0.4720800000052789,0.12239936720405832,216,True,design_change,20.351016891,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.2804193583198409,3.6583410237302347,1.0627700576532535,3372,1,0.0,2.9670274518619952,0.8619393095449922,0.47376599999999824,144277515.65846127,False,5.26318855973935,1.3157971399348376,0.4115384340464239,1,0.5,0.25,,,
load_weighting,w_1_0.5_0.5,0.35,0.3500000000005512,3.035991514686477,0.4720800000007653,0.11900052861398641,203,True,design_change,21.539064047,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,1.1292514564708898,3.2264327327688895,1.062727849258195,3376,1,0.0,2.619519021266908,0.8628215884646248,0.47432799999999875,146291495.0717428,False,5.2266288306236826,1.3066572076559206,0.3840511898426232,1,0.5,0.5,,,
load_weighting,w_1_0.5_1,0.35,0.35000000001206943,2.4812199719244123,0.47208000001630107,0.11499272857174406,209,True,design_change,22.12840759,9600,19602,3.0,0.0037499999999998875,8.875416666666666,71700000000,0.9176163938823577,2.621761125287756,1.0566419563575982,3364,1,0.0,2.155271079121642,0.8686336171355387,0.4726419999999989,146358569.78308243,False,5.215900902000197,1.3039752255000492,0.3351614150608094,1,0.5,1.0,,,
