problem,run,variant,final_beta,iterations,stop_reason,grey_level,filtered_grey_level,compliance_J,interpreted_compliance_J,compliance_vs_simp_ratio,seconds
"MBB beam (2-D, Q4)",mbb_beam,without projection,,434,design_change,0.278905365550479,,221.55141899615916,188.60186403700482,0.8512780685023482,56.632586129
"MBB beam (2-D, Q4)",mbb_beam_projected,with projection,32.0,218,objective_stall,0.020674056124563876,0.3238392107926997,189.6538472268036,188.63018783226823,0.994602485478129,31.58575557
"bracket (3-D, Hex8)",bracket_3d,without projection,,157,design_change,0.3355227948754528,,0.28951340981647045,0.17634853822824734,0.6091204491703474,450.450431989
"bracket (3-D, Hex8)",bracket_3d_projected,with projection,16.0,190,objective_stall,0.012533767084777582,0.3538788680331679,0.18188409718554086,0.17873848876895723,0.9827054235897558,99.621034018
"lug bracket (2-D, Tri3, Gmsh)",lug_bracket_2d,with projection,32.0,211,objective_stall,0.003871650843969463,0.1764287066447775,0.8289087086494175,0.825543992145477,0.9959407876056426,37.686380904
"engine mount (3-D, Tet4, Gmsh)",engine_mount_3d,with projection,16.0,265,objective_stall,0.048425995402302954,0.3544567659893204,0.44366945194389384,0.4235204403427952,0.9545855331873363,278.472638299
"large bracket (3-D, Hex8, 356k DOFs)",bracket_3d_large,with projection,16.0,171,objective_stall,0.0008624961808735775,0.12405685594198561,0.17098696097788724,0.17094209777320743,0.9997376220711612,1339.891680336
